six_channel,theme,n_clauses,example_clause_numbers
太陽病,誤治變證,74,6、15、16、21、28、29、34、43
太陽病,方證條文,63,12、13、14、18、19、20、22、24
太陽病,禁忌法度,16,17、23、27、36、38、50、81、83
太陽病,預後判斷,12,7、8、9、10、47、109、110、129
太陽病,脈證關係,9,1、2、3、4、108、120、122、128
太陽病,病證界定,4,5、11、121、127
陽明病,誤治變證,25,189、195、200、203、211、212、215、217
陽明病,方證條文,21,207、208、213、222、223、225、229、230
陽明病,病證界定,18,179、180、181、182、183、184、185、188
陽明病,禁忌法度,8,204、205、206、209、214、224、233、259
陽明病,脈證關係,7,186、187、201、218、227、245、246
陽明病,預後判斷,5,192、193、210、216、258
少陽病,病證界定,4,263、269、270、271
少陽病,禁忌法度,2,264、265
少陽病,方證條文,1,266
少陽病,誤治變證,1,267
少陽病,脈證關係,1,268
少陽病,預後判斷,1,272
太陰病,誤治變證,2,273、279
太陰病,預後判斷,2,274、275
太陰病,脈證關係,2,278、280
太陰病,方證條文,1,276
太陰病,病證界定,1,277
少陰病,方證條文,18,301、302、303、305、306、307、309、310
少陰病,預後判斷,12,287、288、289、290、291、294、295、296
少陰病,誤治變證,7,284、286、304、320、321、322、325
少陰病,脈證關係,3,281、283、292
少陰病,病證界定,3,282、293、308
少陰病,禁忌法度,2,285、324
厥陰病,預後判斷,20,327、328、329、332、336、339、341、343
厥陰病,方證條文,18,333、338、350、351、352、353、354、355
厥陰病,誤治變證,9,326、330、335、347、349、357、359、362
厥陰病,病證界定,6,331、334、337、340、342、358
厥陰病,脈證關係,2,363、365
厥陰病,禁忌法度,1,364
霍亂病,方證條文,6,385、386、387、388、389、390
霍亂病,病證界定,2,382、383
霍亂病,預後判斷,1,384
霍亂病,脈證關係,1,391
陰陽易差後勞復病,方證條文,6,392、393、394、395、396、397
陰陽易差後勞復病,預後判斷,1,398
